field,remanance
+4.138922E-07,+1.823698E-09

+2.019116E-03,+2.082646E-09

+2.268876E-03,+1.924269E-09

+2.551071E-03,+2.058738E-09

+2.867579E-03,+1.968948E-09

+3.227184E-03,+2.087280E-09

+3.626164E-03,+2.121494E-09

+4.074622E-03,+2.200439E-09

+4.582765E-03,+2.262606E-09

+5.154236E-03,+2.319665E-09

+5.790004E-03,+2.345576E-09

+6.509219E-03,+2.512138E-09

+7.317411E-03,+2.732714E-09

+8.223176E-03,+3.019043E-09

+9.247611E-03,+3.280028E-09

+1.040616E-02,+3.636649E-09

+1.169257E-02,+4.276992E-09

+1.314107E-02,+4.667333E-09

+1.478212E-02,+5.420669E-09

+1.661455E-02,+6.253870E-09

+1.867011E-02,+7.264663E-09

+2.099298E-02,+8.429020E-09

+2.359173E-02,+9.588654E-09

+2.651841E-02,+1.110021E-08

+2.981308E-02,+1.286250E-08

+3.356038E-02,+1.485768E-08

+3.769881E-02,+1.665387E-08

+4.238554E-02,+1.885394E-08

+4.766095E-02,+2.081531E-08

+5.357334E-02,+2.280387E-08

+6.022718E-02,+2.475112E-08

+6.771846E-02,+2.645709E-08

+7.609304E-02,+2.800576E-08

+8.555230E-02,+2.924192E-08

+9.614993E-02,+3.007642E-08

+1.082173E-01,+3.075533E-08

+1.216614E-01,+3.144828E-08

+1.367673E-01,+3.188148E-08

+1.535974E-01,+3.230155E-08

+1.726824E-01,+3.263219E-08

+1.940969E-01,+3.260439E-08

+2.181928E-01,+3.279894E-08

+2.453544E-01,+3.308830E-08

+2.758024E-01,+3.329558E-08

+3.102807E-01,+3.385990E-08

+3.487751E-01,+3.390154E-08

+3.921640E-01,+3.424050E-08

+4.408756E-01,+3.437078E-08

+4.955699E-01,+3.462339E-08

+5.565824E-01,+3.462593E-08

+6.260417E-01,+3.485405E-08

+7.034133E-01,+3.490490E-08

+7.909466E-01,+3.507074E-08

+8.889704E-01,+3.526302E-08

+9.991624E-01,+3.542599E-08

+1.124279E+00,+3.610107E-08

+1.263168E+00,+3.605646E-08

+1.419793E+00,+3.638436E-08

+1.597051E+00,+3.642071E-08

+1.794921E+00,+3.658138E-08

